ID,DataType,Sector,Exposure_Time,FFI_Avail,SPOC_Avail
622339455521105280,FFI,45.0,475.199789,True,True
622339455521105280,FFI,48.0,475.199789,True,True
622339455521105280,FFI,72.0,158.399928,True,True
622339455521105280,FFI,1751.0,158.399926,True,True
622339455521105280,SPOC,,[20.] s,True,True
622339455521105280,SPOC,,[20.] s,True,True
622339455521105280,SPOC,,[120.] s,True,True
622339455521105280,SPOC,,[120.] s,True,True
622339455521105280,SPOC,,[20.] s,True,True
622339455521105280,SPOC,,[120.] s,True,True
628080246633611520,FFI,21.0,1425.59939,True,True
628080246633611520,FFI,46.0,475.199787,True,True
628080246633611520,FFI,45.0,475.199789,True,True
628080246633611520,FFI,48.0,475.199789,True,True
628080246633611520,FFI,1751.0,158.399926,True,True
628080246633611520,SPOC,,[120.] s,True,True
628080246633611520,SPOC,,[20.] s,True,True
628080246633611520,SPOC,,[120.] s,True,True
628080246633611520,SPOC,,[20.] s,True,True
628080246633611520,SPOC,,[120.] s,True,True
628865130046268672,FFI,46.0,475.199787,True,True
628865130046268672,FFI,45.0,475.199789,True,True
628865130046268672,FFI,48.0,475.199789,True,True
628865130046268672,FFI,72.0,158.399928,True,True
628865130046268672,FFI,1751.0,158.399926,True,True
628865130046268672,SPOC,,[120.] s,True,True
628865130046268672,SPOC,,[120.] s,True,True
628865130046268672,SPOC,,[120.] s,True,True
628865130046268672,SPOC,,[20.] s,True,True
628865130046268672,SPOC,,[120.] s,True,True
641821259671808896,FFI,21.0,1425.59939,True,True
641821259671808896,FFI,46.0,475.199787,True,True
641821259671808896,FFI,45.0,475.199789,True,True
641821259671808896,FFI,48.0,475.199789,True,True
641821259671808896,FFI,1751.0,158.399926,True,True
641821259671808896,SPOC,,[120.] s,True,True
641821259671808896,SPOC,,[120.] s,True,True
641821259671808896,SPOC,,[120.] s,True,True
646255246469567232,FFI,21.0,1425.59939,True,False
646255246469567232,FFI,46.0,475.199787,True,False
646255246469567232,FFI,45.0,475.199789,True,False
646255246469567232,FFI,44.0,475.19979,True,False
646255246469567232,FFI,48.0,475.199789,True,False
646255246469567232,FFI,1751.0,158.399926,True,False
646818024623804416,FFI,21.0,1425.59939,True,True
646818024623804416,FFI,46.0,475.199787,True,True
646818024623804416,FFI,45.0,475.199789,True,True
646818024623804416,FFI,48.0,475.199789,True,True
646818024623804416,FFI,1751.0,158.399926,True,True
646818024623804416,SPOC,,[120.] s,True,True
646818024623804416,SPOC,,[120.] s,True,True
646818024623804416,SPOC,,[120.] s,True,True
646818024623804416,SPOC,,[120.] s,True,True
656328319169788032,FFI,46.0,475.199787,True,True
656328319169788032,FFI,45.0,475.199789,True,True
656328319169788032,FFI,44.0,475.19979,True,True
656328319169788032,FFI,72.0,158.399928,True,True
656328319169788032,FFI,71.0,158.39993,True,True
656328319169788032,FFI,1751.0,158.399926,True,True
656328319169788032,SPOC,,[120.] s,True,True
656328319169788032,SPOC,,[120.] s,True,True
656328319169788032,SPOC,,[120.] s,True,True
666988221840703232,FFI,46.0,475.199787,True,True
666988221840703232,FFI,45.0,475.199789,True,True
666988221840703232,FFI,44.0,475.19979,True,True
666988221840703232,FFI,72.0,158.399928,True,True
666988221840703232,FFI,71.0,158.39993,True,True
666988221840703232,FFI,1751.0,158.399926,True,True
666988221840703232,SPOC,,[120.] s,True,True
666988221840703232,SPOC,,[120.] s,True,True
666988221840703232,SPOC,,[120.] s,True,True
696501553469122304,FFI,21.0,1425.59939,True,True
696501553469122304,FFI,48.0,475.199789,True,True
696501553469122304,SPOC,,[120.] s,True,True
696501553469122304,SPOC,,[120.] s,True,True
700732474214292096,FFI,21.0,1425.59939,True,True
700732474214292096,FFI,48.0,475.199789,True,True
700732474214292096,SPOC,,[120.] s,True,True
700732474214292096,SPOC,,[120.] s,True,True
704966762213039488,FFI,21.0,1425.59939,True,False
704966762213039488,FFI,46.0,475.199787,True,False
704966762213039488,FFI,44.0,475.19979,True,False
704966762213039488,FFI,72.0,158.399928,True,False
704966762213039488,FFI,1751.0,158.399926,True,False
706300980915871616,FFI,21.0,1425.59939,True,True
706300980915871616,FFI,46.0,475.199787,True,True
706300980915871616,FFI,45.0,475.199789,True,True
706300980915871616,FFI,44.0,475.19979,True,True
706300980915871616,FFI,47.0,475.199791,True,True
706300980915871616,FFI,72.0,158.399928,True,True
706300980915871616,FFI,71.0,158.39993,True,True
706300980915871616,FFI,1751.0,158.399926,True,True
706300980915871616,SPOC,,[120.] s,True,True
706300980915871616,SPOC,,[120.] s,True,True
706300980915871616,SPOC,,[120.] s,True,True
706300980915871616,SPOC,,[120.] s,True,True
706300980915871616,SPOC,,[120.] s,True,True
709563717249089792,FFI,21.0,1425.59939,True,True
709563717249089792,FFI,46.0,475.199787,True,True
709563717249089792,FFI,45.0,475.199789,True,True
709563717249089792,FFI,44.0,475.19979,True,True
709563717249089792,FFI,47.0,475.199791,True,True
709563717249089792,SPOC,,[120.] s,True,True
709563717249089792,SPOC,,[20.] s,True,True
709563717249089792,SPOC,,[120.] s,True,True
741275934694972800,FFI,21.0,1425.59939,True,True
741275934694972800,FFI,48.0,475.199789,True,True
741275934694972800,SPOC,,[120.] s,True,True
741275934694972800,SPOC,,[120.] s,True,True
753585104807022080,FFI,21.0,1425.59939,True,True
753585104807022080,FFI,48.0,475.199789,True,True
753585104807022080,SPOC,,[120.] s,True,True
753585104807022080,SPOC,,[120.] s,True,True
758200712885953280,FFI,22.0,1425.599393,True,True
758200712885953280,FFI,48.0,475.199789,True,True
758200712885953280,SPOC,,[120.] s,True,True
758200712885953280,SPOC,,[20.] s,True,True
758200712885953280,SPOC,,[120.] s,True,True
763973668623022464,FFI,22.0,1425.599393,True,True
763973668623022464,FFI,48.0,475.199789,True,True
763973668623022464,SPOC,,[120.] s,True,True
763973668623022464,SPOC,,[120.] s,True,True
764072689093638528,FFI,22.0,1425.599393,True,True
764072689093638528,FFI,48.0,475.199789,True,True
764072689093638528,SPOC,,[120.] s,True,True
764072689093638528,SPOC,,[120.] s,True,True
765038614353808768,FFI,22.0,1425.599393,True,True
765038614353808768,FFI,48.0,475.199789,True,True
765038614353808768,SPOC,,[120.] s,True,True
765038614353808768,SPOC,,[120.] s,True,True
772430527947893632,FFI,22.0,1425.599393,True,True
772430527947893632,FFI,48.0,475.199789,True,True
772430527947893632,FFI,75.0,158.399924,True,True
772430527947893632,SPOC,,[120.] s,True,True
772430527947893632,SPOC,,[120.] s,True,True
